,original title,genres,runtimes,countries,country codes,votes,year,rating,original air date,kind,plot,id,domestic,international,total
0,Black Widow (2020),"['Action', 'Adventure', 'Sci-Fi']",,['United States'],['us'],,2020.0,,01 May 2020 (USA),movie,A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.,3480822,,,
1,The Favourite (2018),"['Biography', 'Drama', 'History']",119,"['Ireland', 'United Kingdom', 'United States']","['ie', 'gb', 'us']",137100.0,2018.0,7.6,21 Dec 2018 (USA),movie,"In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.::Fox Searchlight Pictures",5083738,34366783.0,61551923.0,95918706.0
2,The Mercy (2018),"['Adventure', 'Biography', 'Drama', 'Mystery']",112,['United Kingdom'],['gb'],6100.0,2018.0,6.0,30 Nov 2018 (USA),movie,The incredible story of amateur sailor Donald Crowhurst and his solo attempt to circumnavigate the globe. The struggles he confronted on the journey while his family awaited his return is one of the most enduring mysteries of recent times.::Anonymous,3319730,,,
3,Disobedience (2017),"['Drama', 'Romance']",114,"['Ireland', 'United Kingdom', 'United States']","['ie', 'gb', 'us']",20359.0,2017.0,6.6,27 Apr 2018 (USA),movie,"A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality.::Bleeker Street",6108178,3498782.0,4371345.0,7870127.0
4,My Cousin Rachel (2017),"['Drama', 'Mystery', 'Romance']",106,"['United Kingdom', 'United States']","['gb', 'us']",16113.0,2017.0,6.0,09 Jun 2017 (USA),movie,"A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.::Fox Searchlight",4411596,2716368.0,6483800.0,9200168.0
5,Denial (2016),"['Biography', 'Drama']",109,"['United Kingdom', 'United States']","['gb', 'us']",17255.0,2016.0,6.7,21 Oct 2016 (USA),movie,"Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.::Bleecker Street",4645330,4073489.0,3921038.0,7994527.0
6,The Light Between Oceans (2016),"['Drama', 'Romance']",133,"['United Kingdom', 'New Zealand', 'United States', 'India']","['gb', 'nz', 'us', 'in']",47903.0,2016.0,7.2,02 Sep 2016 (USA),movie,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.::Anonymous,2547584,12545979.0,13429642.0,25975621.0
7,Complete Unknown (2016),"['Drama', 'Mystery']",91,['United States'],['us'],5353.0,2016.0,5.4,26 Aug 2016 (USA),movie,"As a man contemplates moving to a new state with his wife for her graduate program, an old flame - a woman who often changes identities - reenters his life at a birthday dinner party.::Anonymous",4230700,191761.0,25712.0,217473.0
8,Youth (2015),"['Comedy', 'Drama', 'Music', 'Romance']",124,"['Italy', 'France', 'United Kingdom', 'Switzerland']","['it', 'fr', 'gb', 'ch']",66296.0,2015.0,7.3,04 Dec 2015 (USA),movie,A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.::Panapaok,3312830,2703296.0,20756062.0,23459358.0
9,The Lobster (2015),"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Thriller']",119,"['Ireland', 'United Kingdom', 'Greece', 'France', 'Netherlands']","['ie', 'gb', 'gr', 'fr', 'nl']",191939.0,2015.0,7.1,15 Oct 2015 (Italy),movie,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.::Wikipedia and Brian McInnis",3464902,376871.0,6127495.0,6504366.0
10,Oz the Great and Powerful (2013),"['Adventure', 'Family', 'Fantasy']",130,['United States'],['us'],193980.0,2013.0,6.3,08 Mar 2013 (USA),movie,"A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.::MadMovieManiac",1623205,234911825.0,258400000.0,493311825.0
